id,team,scorer,R.RYPIEN,K.BIEKSA,R.KESLER,T.LINDEN,D.SEDIN,H.SEDIN,M.NASLUND,B.RITCHIE,M.WEAVER,R.SHANNON,T.PYATT,A.BURROWS,A.EDLER,B.MORRISON,W.MITCHELL,S.SALO,M.PETTINGER,M.OHLUND,M.COOKE,M.RAYMOND,J.JAFFRAY,A.MILLER,K.BEECH,L.KRAJICEK,R.LUONGO,B.ISBISTER,C.SANFORD,J.COWAN,M.SUNDIN,R.JOHNSON,P.DEMITRA,S.BERNIER,K.WELLWOOD,O.VAANANEN,S.OBRIEN,J.HANSEN,R.DAVISON,A.BOLDUC,D.HORDICHUK,M.BROWN,L.NYCHOLAT,C.EHRHOFF,M.GRABNER,M.SAMUELSSON,T.GLASS,A.ROME,A.ALBERTS,N.BAUMGARTNER,B.LUKOWICH,M.SCHNEIDER,C.HIGGINS,V.ORESKOVICH,R.TORRES,K.BALLARD,D.HAMHUIS,M.MALHOTRA,C.HODGSON,L.SWEATT,J.TAMBELLINI,A.VOLPATTI,C.TANEV,C.SCHNEIDER,P.SCHAEFER,M.GRAGNANI,M.LAPIERRE,Z.KASSIAN,S.PAHLSSON,D.BOOTH,D.WEISE,B.BITZ,M.DUCO,A.SULZER,A.EBBETT,J.GARRISON,D.ROY,J.SCHROEDER,C.BARKER,S.MATTHIAS,B.RICHARDSON,N.JENSEN,Y.WEBER,T.SESTITO,R.DIAZ,R.STANTON,Z.DALPE,M.SANTORELLI,D.ARCHIBALD
1,VAN,B.RITCHIE,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,VAN,A.BURROWS,1,13,21,1,57,68,0,0,0,0,4,0,12,0,6,4,0,2,1,3,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,6,0,0,0,0,0,4,0,2,0,1,0,1,0,0,3,0,0,3,7,4,2,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0
3,VAN,W.MITCHELL,1,0,1,1,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,VAN,R.KESLER,0,10,0,0,22,25,3,1,0,1,2,22,26,1,5,9,0,5,4,20,0,1,0,0,1,1,1,0,9,0,13,4,0,1,1,11,0,0,0,0,0,15,1,15,0,1,2,0,0,1,9,0,3,0,5,2,1,0,2,0,2,0,0,0,0,1,0,5,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,3,0
5,VAN,S.SALO,0,3,5,0,14,20,1,0,0,1,0,1,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,VAN,M.NASLUND,0,1,1,0,11,11,0,1,0,0,2,0,3,5,1,2,1,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,VAN,T.LINDEN,0,0,0,0,1,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,VAN,M.PETTINGER,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,VAN,B.ISBISTER,0,1,4,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,VAN,D.SEDIN,0,19,18,0,0,135,9,0,0,0,1,35,30,0,4,13,0,7,0,4,0,1,0,1,0,0,0,0,2,0,3,2,1,0,2,5,1,0,0,1,1,12,0,8,0,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
11,VAN,T.PYATT,0,1,3,0,4,7,5,2,0,1,0,2,2,3,1,3,0,0,0,2,1,0,0,0,0,2,0,0,0,2,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,VAN,H.SEDIN,0,14,17,0,73,0,2,0,0,0,2,28,14,0,5,11,0,1,0,4,0,1,0,1,0,1,0,0,0,1,5,2,0,0,0,2,0,0,1,0,0,4,0,6,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,1,2,0,0,0,0,0,1,1,1,0,0,0,5,0,0,0,0,0,1,0,1,0,2,0,0,0
13,VAN,B.MORRISON,0,1,0,0,2,2,3,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,VAN,M.RAYMOND,0,9,20,0,5,8,0,0,0,2,2,4,11,1,2,5,0,3,2,0,2,2,0,0,1,0,0,0,1,0,1,4,1,0,2,6,0,1,0,0,0,7,3,9,0,1,1,0,1,0,2,0,1,0,5,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
15,VAN,M.OHLUND,0,1,3,0,5,5,3,0,0,0,2,1,2,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,VAN,A.EDLER,0,4,11,0,18,22,1,0,0,1,1,3,0,1,0,5,0,5,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,1,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,1,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
17,VAN,K.BIEKSA,0,0,2,0,13,17,0,0,0,0,0,4,3,0,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,5,3,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
18,VAN,R.SHANNON,0,0,0,1,3,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,VAN,M.COOKE,0,0,1,1,0,1,0,0,0,1,0,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,VAN,L.BOURDON,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,VAN,K.BEECH,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,VAN,J.JAFFRAY,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,VAN,A.MILLER,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,VAN,M.BROWN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,VAN,L.KRAJICEK,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,VAN,R.RYPIEN,0,0,1,0,0,1,0,0,0,0,0,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,VAN,P.DEMITRA,0,0,3,0,7,7,0,0,0,0,0,1,3,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,VAN,K.WELLWOOD,0,2,5,0,5,4,0,0,0,0,3,2,7,0,1,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,8,5,0,0,2,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,VAN,M.SUNDIN,0,4,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,VAN,S.BERNIER,0,5,3,0,2,3,0,0,0,0,1,5,0,0,2,1,1,0,0,4,0,0,0,0,1,0,0,0,0,2,3,0,4,0,2,1,1,0,0,0,0,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,VAN,J.HANSEN,0,5,4,0,12,12,0,0,0,0,1,3,3,0,3,3,0,1,0,9,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,4,0,3,4,6,4,4,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0
32,VAN,R.JOHNSON,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,VAN,D.HORDICHUK,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,VAN,J.KROG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,VAN,A.ALBERTS,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,VAN,M.GRABNER,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,VAN,C.EHRHOFF,1,1,9,0,10,6,0,0,0,0,0,3,6,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,3,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,VAN,S.OBRIEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
